URL,Status,Response Code,Protocol,Method,Content-Type,Client Address,Client Port,Remote Address,Remote Port,Exception,Request Start Time,Request End Time,Response Start Time,Response End Time,Duration (ms),DNS Duration (ms),Connect Duration (ms),SSL Duration (ms),Request Duration (ms),Response Duration (ms),Latency (ms),Speed (KB/s),Request Speed (KB/s),Response Speed (KB/s),Request Handshake Size (bytes),Request Header Size (bytes),Request Body Size (bytes),Response Handshake Size (bytes),Response Header Size (bytes),Response Body Size (bytes),Request Compression,Response Compression
https://us.api.iheart.com/api/v3/live-meta/stream/5727/currentTrackMeta?defaultMetadata=1,COMPLETE,200,https,GET,application/json,/192.168.1.155,51455,us.api.iheart.com/151.101.209.13,443,,02 Jun 2020 19:04:04,02 Jun 2020 19:04:04,02 Jun 2020 19:04:04,02 Jun 2020 19:04:04,8,,,,0,0,8,77.51465,0.0,0.0,,309,,,0,326,,29.1%
https://us.api.iheart.com/api/v3/live-meta/stream/5727/currentTrackMeta?defaultMetadata=0,COMPLETE,200,https,GET,application/json,/192.168.1.155,51455,us.api.iheart.com/151.101.209.13,443,,02 Jun 2020 19:04:06,02 Jun 2020 19:04:06,02 Jun 2020 19:04:06,02 Jun 2020 19:04:06,7,,,,0,0,7,88.58789,0.0,0.0,,309,,,0,326,,29.1%
https://us.api.iheart.com/api/v3/live-meta/stream/5727/currentTrackMeta?defaultMetadata=1,COMPLETE,200,https,GET,application/json,/192.168.1.155,51455,us.api.iheart.com/151.101.209.13,443,,02 Jun 2020 19:04:09,02 Jun 2020 19:04:09,02 Jun 2020 19:04:09,02 Jun 2020 19:04:09,7,,,,1,0,6,88.58789,301.7578,0.0,,309,,,0,326,,29.1%
https://us.api.iheart.com/api/v3/live-meta/stream/5727/currentTrackMeta?defaultMetadata=0,COMPLETE,200,https,GET,application/json,/192.168.1.155,51455,us.api.iheart.com/151.101.209.13,443,,02 Jun 2020 19:04:11,02 Jun 2020 19:04:11,02 Jun 2020 19:04:11,02 Jun 2020 19:04:11,7,,,,0,0,7,88.58789,0.0,0.0,,309,,,0,326,,29.1%
https://us.api.iheart.com/api/v3/live-meta/stream/5727/currentTrackMeta?defaultMetadata=1,COMPLETE,200,https,GET,application/json,/192.168.1.155,51455,us.api.iheart.com/151.101.209.13,443,,02 Jun 2020 19:04:14,02 Jun 2020 19:04:14,02 Jun 2020 19:04:14,02 Jun 2020 19:04:14,9,,,,0,0,9,68.90137,0.0,0.0,,309,,,0,326,,29.1%
https://us.api.iheart.com/api/v3/live-meta/stream/5727/currentTrackMeta?defaultMetadata=0,COMPLETE,200,https,GET,application/json,/192.168.1.155,51455,us.api.iheart.com/151.101.209.13,443,,02 Jun 2020 19:04:16,02 Jun 2020 19:04:16,02 Jun 2020 19:04:16,02 Jun 2020 19:04:16,8,,,,0,0,8,77.51465,0.0,0.0,,309,,,0,326,,29.1%
https://us.api.iheart.com/api/v3/live-meta/stream/5727/currentTrackMeta?defaultMetadata=1,COMPLETE,200,https,GET,application/json,/192.168.1.155,51455,us.api.iheart.com/151.101.209.13,443,,02 Jun 2020 19:04:19,02 Jun 2020 19:04:19,02 Jun 2020 19:04:19,02 Jun 2020 19:04:19,9,,,,0,0,9,68.90137,0.0,0.0,,309,,,0,326,,29.1%
https://us.api.iheart.com/api/v3/live-meta/stream/5727/currentTrackMeta?defaultMetadata=0,COMPLETE,200,https,GET,application/json,/192.168.1.155,51455,us.api.iheart.com/151.101.209.13,443,,02 Jun 2020 19:04:21,02 Jun 2020 19:04:21,02 Jun 2020 19:04:21,02 Jun 2020 19:04:21,5,,,,0,0,5,124.02344,0.0,0.0,,309,,,0,326,,29.1%
https://us.api.iheart.com/api/v3/live-meta/stream/5727/currentTrackMeta?defaultMetadata=1,COMPLETE,200,https,GET,application/json,/192.168.1.155,51455,us.api.iheart.com/151.101.209.13,443,,02 Jun 2020 19:04:24,02 Jun 2020 19:04:24,02 Jun 2020 19:04:24,02 Jun 2020 19:04:24,5,,,,0,0,5,124.02344,0.0,0.0,,309,,,0,326,,29.1%
https://us.api.iheart.com/api/v3/live-meta/stream/5727/currentTrackMeta?defaultMetadata=0,COMPLETE,200,https,GET,application/json,/192.168.1.155,51455,us.api.iheart.com/151.101.209.13,443,,02 Jun 2020 19:04:26,02 Jun 2020 19:04:26,02 Jun 2020 19:04:26,02 Jun 2020 19:04:26,9,,,,0,0,9,68.90137,0.0,0.0,,309,,,0,326,,29.1%
